USStateCourtID,CourtID,USStateID,CourtName,CourtLevelID,CSPAggID,FundingID,AppealFromAdminAgency,Notes,Link,DisplayOrder,State,FundingDescription,CourtLevelDescription
175,66,34,Appellate Terms of Supreme Court,IAC       ,IAC       ,S,No,,http://www.courts.state.ny.us/courts/lowerappeals.shtml,175,New York,State funded,Intermediate Appellate Court
176,220,34,City,LJ        ,LJ        ,S,No,Jury trials.,http://www.nycourts.gov/courts/cts-outside-nyc-CITY.shtml,176,New York,State funded,Limited Jurisdiction
177,221,34,Civil Ct. of the City of NY,LJ        ,LJ        ,S,No,Jury trials.,http://www.courts.state.ny.us/courts/nyc/civil/index.shtml,177,New York,State funded,Limited Jurisdiction
178,222,34,County,GJ        ,GJ        ,S,No,Jury trials.,http://www.courts.state.ny.us/litigants/courtguides/index.shtml,178,New York,State funded,General Jurisdiction
179,223,34,Court of Claims,LJ        ,GJ        ,S,No,No jury trials.,http://www.nycourts.gov/courts/nyscourtofclaims/,179,New York,State funded,Limited Jurisdiction
180,224,34,Criminal Ct of the City of NY,LJ        ,LJ        ,S,No,Jury trials for highest level misdemeanor.,http://www.courts.state.ny.us/courts/nyc/criminal/index.shtml,180,New York,State funded,Limited Jurisdiction
181,225,34,District,LJ        ,LJ        ,S,No,Jury trials except in traffic.,http://www.courts.state.ny.us/courts/cts-outside-nyc-DISTRICT.shtml,181,New York,State funded,Limited Jurisdiction
182,226,34,Family,LJ        ,GJ        ,S,No,No jury trials.,http://www.courts.state.ny.us/courts/cts-outside-nyc-FAMILY.shtml,182,New York,State funded,Limited Jurisdiction
183,227,34,Supreme,GJ        ,GJ        ,S,Yes,Jury trials.,http://www.courts.state.ny.us/courts/nyc/supreme/index.shtml,183,New York,State funded,General Jurisdiction
184,228,34,Surrogate's,LJ        ,GJ        ,S,No,Jury trials in probate/estate.,http://www.courts.state.ny.us/courts/cts-outside-nyc-SURROGATES.shtml,184,New York,State funded,Limited Jurisdiction
185,229,34,Town & Village Justice,LJ        ,LJ        ,M,No,Jury trials in most cases.,http://www.nycourts.gov/courts/townandvillage/,185,New York,State and local funding,Limited Jurisdiction
186,67,35,Supreme Court,COLR      ,COLR      ,S,Yes,,http://www.nccourts.org/Courts/Appellate/Supreme/Default.asp,186,North Carolina,State funded,Court of Last Resort
187,68,35,Court of Appeals,IAC       ,IAC       ,S,Yes,,http://www.nccourts.org/Courts/Appellate/Appeal/Default.asp,187,North Carolina,State funded,Intermediate Appellate Court
188,230,35,District,LJ        ,LJ        ,M,No,Jury trials in civil cases only.,http://www.nccourts.org/Courts/Trial/District/Default.asp,188,North Carolina,State and local funding,Limited Jurisdiction
189,231,35,Superior,GJ        ,GJ        ,M,Yes,Jury trials.,http://www.nccourts.org/Courts/Trial/Superior/Default.asp,189,North Carolina,State and local funding,General Jurisdiction
190,69,36,Supreme Court,COLR      ,COLR      ,S,No,Assigns cases to the Temporary Court of Appeals.,www.court.state.nd.us/Court/COURT.htm,190,North Dakota,State funded,Court of Last Resort
191,70,36,Temporary Court of Appeals,IAC       ,IAC       ,S,No,"A temporary court of appeals was established July 1, 1987. The Supreme Court has the authority to call into existence the Court of Appeals for the purpose of exercising appellate and original jurisdiction as delegated by the Supreme Court. Since the Court of Appeals is not a permanent seated court it must be specifically authorized; such authorization for the Court f Appeals extends to January 1, 2020.",-99,191,North Dakota,State funded,Intermediate Appellate Court
192,232,36,District,GJ        ,GJ        ,S,Yes,Jury trials in many cases.,http://www.ndcourts.gov/court/districts/districts.htm,192,North Dakota,State funded,General Jurisdiction
193,233,36,Municipal,LJ        ,LJ        ,L,No,No jury trials.,http://www.ndcourts.gov/court/municipal.htm,193,North Dakota,Locally funded,Limited Jurisdiction
194,72,37,Supreme Court,COLR      ,COLR      ,S,Yes,,http://www.sconet.state.oh.us/,194,Ohio,State funded,Court of Last Resort
195,73,37,Court of Appeals,IAC       ,IAC       ,S,Yes,,http://www.sconet.state.oh.us/JudSystem/districtCourts/,195,Ohio,State funded,Intermediate Appellate Court
196,235,37,County,LJ        ,LJ        ,M,No,Jury trials in most cases.,http://www.sconet.state.oh.us/JudSystem/districtCourts/,196,Ohio,State and local funding,Limited Jurisdiction
197,236,37,Court of Claims,LJ        ,GJ        ,S,No,Jury trials in some cases.,https://ohiocourtofclaims.gov/,197,Ohio,State funded,Limited Jurisdiction
198,237,37,Court of Common Pleas,GJ        ,GJ        ,M,Yes,Jury trials in most cases.,http://www.sconet.state.oh.us/JudSystem/default.asp,198,Ohio,State and local funding,General Jurisdiction
199,238,37,Mayor's,LJ        ,LJ        ,L,No,No jury trials.,http://www.ohiomayorscourtclerks.org/,199,Ohio,Locally funded,Limited Jurisdiction
200,239,37,Municipal,LJ        ,LJ        ,M,No,Jury trials in most cases.,http://www.sconet.state.oh.us/JudSystem/default.asp,200,Ohio,State and local funding,Limited Jurisdiction
201,74,38,Court of Criminal Appeals,COLR      ,COLR      ,S,No,,http://www.okcca.net/,201,Oklahoma,State funded,Court of Last Resort
202,75,38,Supreme Court,COLR      ,COLR      ,S,Yes,Assigns cases to the Court of Civil Appeals.,http://www.oscn.net/oscn/schome/start.htm,202,Oklahoma,State funded,Court of Last Resort
203,76,38,Court of Civil Appeals,IAC       ,IAC       ,S,No,,http://www.oscn.net/oscn/schome/civilappeals.htm,203,Oklahoma,State funded,Intermediate Appellate Court
204,240,38,District,GJ        ,GJ        ,S,No,Jury trials.,http://www.oscn.net/applications/oscn/start.asp?viewType=COURTS,204,Oklahoma,State funded,General Jurisdiction
205,241,38,Municipal Court Not of Record,LJ        ,LJ        ,L,No,Jury trials.,-99,205,Oklahoma,Locally funded,Limited Jurisdiction
206,242,38,Municipal Criminal Court of Record,LJ        ,LJ        ,L,No,Jury trials.,-99,206,Oklahoma,Locally funded,Limited Jurisdiction
207,243,38,Tax Review,LJ        ,GJ        ,S,Yes,No jury trials.,-99,207,Oklahoma,State funded,Limited Jurisdiction
209,77,39,Supreme Court,COLR      ,COLR      ,S,Yes,,courts.oregon.gov/Supreme/pages/index.aspx,209,Oregon,State funded,Court of Last Resort
210,78,39,Court of Appeals,IAC       ,IAC       ,S,Yes,,https://www.courts.oregon.gov/courts/appellate/Pages/default.aspx,210,Oregon,State funded,Intermediate Appellate Court
211,245,39,Circuit,GJ        ,GJ        ,M,No,Jury trials for most case types.,https://www.courts.oregon.gov/OJD/courts/circuit/index.page,211,Oregon,State and local funding,General Jurisdiction
212,246,39,County,LJ        ,LJ        ,L,No,No jury trials.,https://sos.oregon.gov/blue-book/Pages/state.aspx,212,Oregon,Locally funded,Limited Jurisdiction
213,247,39,Justice,LJ        ,LJ        ,L,No,Jury trials for some case types.,https://sos.oregon.gov/blue-book/Pages/state.aspx,213,Oregon,Locally funded,Limited Jurisdiction
214,248,39,Municipal,LJ        ,LJ        ,L,No,Jury trials for some case types.,https://sos.oregon.gov/blue-book/Pages/state.aspx,214,Oregon,Locally funded,Limited Jurisdiction
215,249,39,Tax,GJ        ,GJ        ,S,Yes,No jury trials.,https://www.courts.oregon.gov/Tax/pages/index.aspx,215,Oregon,State funded,General Jurisdiction
216,79,40,Supreme Court,COLR      ,COLR      ,S,No,,http://www.pacourts.us/courts/supreme-court/,216,Pennsylvania,State funded,Court of Last Resort
217,80,40,Commonwealth Court,IAC       ,IAC       ,S,Yes,,http://www.pacourts.us/courts/commonwealth-court/,217,Pennsylvania,State funded,Intermediate Appellate Court
218,81,40,Superior Court,IAC       ,IAC       ,S,No,,www.pacourts.us/courts/superior-court/,218,Pennsylvania,State funded,Intermediate Appellate Court
219,250,40,Court of Common Pleas,GJ        ,GJ        ,M,Yes,Jury trials in most cases.,http://www.pacourts.us/courts/courts-of-common-pleas/,219,Pennsylvania,State and local funding,General Jurisdiction
220,251,40,Magisterial District Judge,LJ        ,LJ        ,M,No,No jury trials.,http://www.pacourts.us/courts/minor-courts/magisterial-district-judges/,220,Pennsylvania,State and local funding,Limited Jurisdiction
221,252,40,Philadelphia Municipal,LJ        ,LJ        ,M,No,No jury trials.,http://courts.phila.gov/municipal/,221,Pennsylvania,State and local funding,Limited Jurisdiction
222,82,41,Supreme Court,COLR      ,COLR      ,S,No,,http://www.ramajudicial.pr/sistema/supremo/index.htm,222,Puerto Rico,State funded,Court of Last Resort
223,83,41,Court of Appeals,IAC       ,IAC       ,S,No,,http://www.ramajudicial.pr/sistema/apelaciones.htm,223,Puerto Rico,State funded,Intermediate Appellate Court
224,253,41,Court of First Instance,GJ        ,GJ        ,S,Yes,,http://www.ramajudicial.pr/sistema/instancia.htm,224,Puerto Rico,State funded,General Jurisdiction
225,84,42,Supreme Court,COLR      ,COLR      ,S,Yes,,https://www.courts.ri.gov/Courts/SupremeCourt/Pages/default.aspx,225,Rhode Island,State funded,Court of Last Resort
226,254,42,District,LJ        ,LJ        ,S,No,No jury trials.,https://www.courts.ri.gov/Courts/districtcourt/Pages/default.aspx,226,Rhode Island,State funded,Limited Jurisdiction
227,255,42,Family,LJ        ,GJ        ,S,No,Jury trials.,https://www.courts.ri.gov/Courts/FamilyCourt/Pages/default.aspx,227,Rhode Island,State funded,Limited Jurisdiction
228,256,42,Municipal,LJ        ,LJ        ,L,No,No jury trials.,-99,228,Rhode Island,Locally funded,Limited Jurisdiction
229,257,42,Probate,LJ        ,GJ        ,L,No,No jury trials.,-99,229,Rhode Island,Locally funded,Limited Jurisdiction
230,258,42,Superior,GJ        ,GJ        ,S,Yes,Jury trials.,https://www.courts.ri.gov/Courts/SuperiorCourt/Pages/default.aspx,230,Rhode Island,State funded,General Jurisdiction
231,259,42,Traffic Tribunal,LJ        ,LJ        ,S,No,No jury trials.,https://www.courts.ri.gov/Courts/rhodeislandtraffictribunal/Pages/default.aspx,231,Rhode Island,State funded,Limited Jurisdiction
232,260,42,Worker's Compensation,LJ        ,GJ        ,S,Yes,No jury trials.,https://www.courts.ri.gov/Courts/workerscompensationcourt/Pages/default.aspx,232,Rhode Island,State funded,Limited Jurisdiction
233,85,43,Supreme Court,COLR      ,COLR      ,S,No,May transfer cases from the Court of Appeals.,-99,233,South Carolina,State funded,Court of Last Resort
234,86,43,Court of Appeals,IAC       ,IAC       ,S,No,,-99,234,South Carolina,State funded,Intermediate Appellate Court
235,261,43,Circuit,GJ        ,GJ        ,M,Yes,Jury trials except in appeals.,-99,235,South Carolina,State and local funding,General Jurisdiction
236,262,43,Family,LJ        ,GJ        ,M,No,No jury trials.,-99,236,South Carolina,State and local funding,Limited Jurisdiction
237,263,43,Magistrate,LJ        ,LJ        ,M,No,Jury trials.,https://www.sccourts.org/magistratecourt/,237,South Carolina,State and local funding,Limited Jurisdiction
238,264,43,Municipal,LJ        ,LJ        ,M,No,Jury trials.,https://www.sccourts.org/municipalcourt/,238,South Carolina,State and local funding,Limited Jurisdiction
239,265,43,Probate,LJ        ,GJ        ,M,No,No jury trials.,-99,239,South Carolina,State and local funding,Limited Jurisdiction
240,87,44,Supreme Court,COLR      ,COLR      ,S,No,,http://ujs.sd.gov/Supreme_Court/default.aspx,240,South Dakota,State funded,Court of Last Resort
241,266,44,Circuit,GJ        ,GJ        ,M,Yes,Jury trials.,http://ujs.sd.gov/Circuit_Court/default.aspx,241,South Dakota,State and local funding,General Jurisdiction
242,267,44,Magistrate,LJ        ,LJ        ,M,No,Jury trials except in small claims.,-99,242,South Dakota,State and local funding,Limited Jurisdiction
243,88,45,Supreme Court,COLR      ,COLR      ,S,No,,http://www.tsc.state.tn.us/courts/supreme-court,243,Tennessee,State funded,Court of Last Resort
244,89,45,Court of Appeals,IAC       ,IAC       ,S,Yes,,http://www.tsc.state.tn.us/courts/court-appeals,244,Tennessee,State funded,Intermediate Appellate Court
245,90,45,Court of Criminal Appeals,IAC       ,IAC       ,S,No,,http://www.tsc.state.tn.us/courts/court-criminal-appeals,245,Tennessee,State funded,Intermediate Appellate Court
246,268,45,Chancery,GJ        ,GJ        ,M,Yes,Jury trials.,http://www.tsc.state.tn.us/courts/court-criminal-appeals,246,Tennessee,State and local funding,General Jurisdiction
247,269,45,Circuit,GJ        ,GJ        ,M,Yes,Jury trials.,http://www.tsc.state.tn.us/courts/circuit-criminal-chancery-courts,247,Tennessee,State and local funding,General Jurisdiction
248,270,45,Criminal,GJ        ,GJ        ,M,No,Jury trials.,http://www.tsc.state.tn.us/courts/circuit-criminal-chancery-courts,248,Tennessee,State and local funding,General Jurisdiction
249,271,45,General Sessions,LJ        ,LJ        ,M,No,No jury trials.,http://www.tsc.state.tn.us/courts/municipal-courts,249,Tennessee,State and local funding,Limited Jurisdiction
250,272,45,Juvenile,LJ        ,GJ        ,M,No,No jury trials.,http://www.tncourts.gov/courts/juvenile-family-courts,250,Tennessee,State and local funding,Limited Jurisdiction
251,273,45,Municipal,LJ        ,LJ        ,M,No,No jury trials.,http://www.tsc.state.tn.us/courts/municipal-courts,251,Tennessee,State and local funding,Limited Jurisdiction
252,274,45,Probate,GJ        ,GJ        ,L,No,No jury trials.,http://www.tsc.state.tn.us/courts/circuit-criminal-chancery-courts/about,252,Tennessee,Locally funded,General Jurisdiction
253,91,46,Court of Criminal Appeals,COLR      ,COLR      ,S,No,,http://www.txcourts.gov/cca,253,Texas,State funded,Court of Last Resort
254,92,46,Supreme Court,COLR      ,COLR      ,S,No,,http://www.txcourts.gov/supreme.aspx,254,Texas,State funded,Court of Last Resort
255,93,46,Court of Appeals,IAC       ,IAC       ,S,No,,http://www.txcourts.gov/about-texas-courts/courts-of-appeals.aspx,255,Texas,State funded,Intermediate Appellate Court
256,275,46,Constitutional County,LJ        ,LJ        ,S,No,Jury trials.,-99,256,Texas,State funded,Limited Jurisdiction
257,276,46,County Court at Law,LJ        ,LJ        ,S,No,Jury trials.,-99,257,Texas,State funded,Limited Jurisdiction
258,277,46,District,GJ        ,GJ        ,M,Yes,Jury trials.,http://www.txcourts.gov/courts/overview/about-texas-courts/trial-courts.aspx,258,Texas,State and local funding,General Jurisdiction
259,278,46,Justice,LJ        ,LJ        ,L,No,Jury trials.,http://www.txcourts.gov/courts/overview/about-texas-courts/trial-courts.aspx,259,Texas,Locally funded,Limited Jurisdiction
260,279,46,Municipal,LJ        ,LJ        ,L,No,Jury trials.,http://www.txcourts.gov/courts/overview/about-texas-courts/trial-courts.aspx,260,Texas,Locally funded,Limited Jurisdiction
261,280,46,Statutory Probate,LJ        ,LJ        ,M,No,Jury trials.,-99,261,Texas,State and local funding,Limited Jurisdiction
262,94,47,Supreme Court,COLR      ,COLR      ,S,No,,https://www.utcourts.gov/courts/sup/index.htm,262,Utah,State funded,Court of Last Resort
263,95,47,Court of Appeals,IAC       ,IAC       ,S,No,,https://www.utcourts.gov/courts/sup/index.htm,263,Utah,State funded,Intermediate Appellate Court
264,281,47,District,GJ        ,GJ        ,M,Yes,Jury trials in most cases.,https://www.utcourts.gov/courts/dist/index.htm,264,Utah,State and local funding,General Jurisdiction
265,282,47,Justice,LJ        ,LJ        ,L,No,Jury trials in some case types.,https://www.utcourts.gov/courts/just/index.htm,265,Utah,Locally funded,Limited Jurisdiction
266,283,47,Juvenile,LJ        ,GJ        ,M,No,No jury trials.,https://www.utcourts.gov/courts/juv/index.htm,266,Utah,State and local funding,Limited Jurisdiction
267,96,48,Supreme Court,COLR      ,COLR      ,S,No,,https://www.vermontjudiciary.org/supreme-court,267,Vermont,State funded,Court of Last Resort
268,284,48,Superior,GJ        ,GJ        ,S,Yes,Jury trials.,https://www.vermontjudiciary.org/court-divisions,268,Vermont,State funded,General Jurisdiction
269,98,49,Supreme Court,COLR      ,COLR      ,S,No,,http://www.courts.state.va.us/courts/scv/home.html,269,Virginia,State funded,Court of Last Resort
270,99,49,Court of Appeals,IAC       ,IAC       ,S,No,,http://www.courts.state.va.us/courts/cav/home.html,270,Virginia,State funded,Intermediate Appellate Court
271,286,49,Circuit,GJ        ,GJ        ,M,Yes,Jury trials.,http://www.courts.state.va.us/courts/circuit/home.html,271,Virginia,State and local funding,General Jurisdiction
272,287,49,District,LJ        ,LJ        ,M,No,No jury trials.,http://www.courts.state.va.us/courts/gd/home.html,272,Virginia,State and local funding,Limited Jurisdiction
273,100,50,Supreme Court,COLR      ,COLR      ,S,No,,http://www.courts.wa.gov/appellate_trial_courts/,273,Washington,State funded,Court of Last Resort
274,101,50,Court of Appeals,IAC       ,IAC       ,S,No,,http://www.courts.wa.gov/appellate_trial_courts/,274,Washington,State funded,Intermediate Appellate Court
275,288,50,District,LJ        ,LJ        ,L,No,Jury trials except in traffic infractions and parking violations.,http://www.courts.wa.gov/appellate_trial_courts/?fa=atc.crtPage&crtType=Dist,275,Washington,Locally funded,Limited Jurisdiction
276,289,50,Municipal,LJ        ,LJ        ,L,No,Jury trials except in traffic infractions and parking violations.,http://www.courts.wa.gov/appellate_trial_courts/?fa=atc.crtPage&crtType=Muni,276,Washington,Locally funded,Limited Jurisdiction
277,290,50,Superior,GJ        ,GJ        ,M,Yes,Jury trials.,http://www.courts.wa.gov/appellate_trial_courts/?fa=atc.crtPage&crtType=Super,277,Washington,State and local funding,General Jurisdiction
278,102,51,Supreme Court of Appeals,COLR      ,COLR      ,S,No,,http://www.courtswv.gov/supreme-court/index.html,278,West Virginia,State funded,Court of Last Resort
279,291,51,Circuit,GJ        ,GJ        ,M,Yes,Jury trials.,http://www.courtswv.gov/lower-courts/circuit-courts.html,279,West Virginia,State and local funding,General Jurisdiction
280,292,51,Family,LJ        ,LJ        ,M,No,No jury trials.,http://www.courtswv.gov/lower-courts/family-courts.html,280,West Virginia,State and local funding,Limited Jurisdiction
281,293,51,Magistrate,LJ        ,LJ        ,S,No,Jury trials.,http://www.courtswv.gov/lower-courts/magistrate-courts.html,281,West Virginia,State funded,Limited Jurisdiction
282,294,51,Municipal,LJ        ,LJ        ,L,No,Jury trials.,-99,282,West Virginia,Locally funded,Limited Jurisdiction
283,103,52,Supreme Court,COLR      ,COLR      ,S,No,,https://wicourts.gov/courts/supreme/index.htm,283,Wisconsin,State funded,Court of Last Resort
284,104,52,Court of Appeals,IAC       ,IAC       ,S,No,,https://wicourts.gov/courts/appeals/index.htm,284,Wisconsin,State funded,Intermediate Appellate Court
285,295,52,Circuit,GJ        ,GJ        ,M,Yes,Jury trials in most cases.,https://wicourts.gov/courts/circuit/index.htm,285,Wisconsin,State and local funding,General Jurisdiction
286,296,52,Municipal,LJ        ,LJ        ,L,No,No jury trials.,https://wicourts.gov/courts/municipal/index.htm,286,Wisconsin,Locally funded,Limited Jurisdiction
287,105,53,Supreme Court,COLR      ,COLR      ,S,Yes,,https://www.courts.state.wy.us/supreme-court/,287,Wyoming,State funded,Court of Last Resort
288,297,53,Circuit,LJ        ,LJ        ,M,No,Jury trials except in small claims.,https://www.courts.state.wy.us/circuit-courts/,288,Wyoming,State and local funding,Limited Jurisdiction
289,298,53,District,GJ        ,GJ        ,M,Yes,Jury trials.,https://www.courts.state.wy.us/district-courts/,289,Wyoming,State and local funding,General Jurisdiction
290,299,53,Municipal,LJ        ,LJ        ,L,No,Jury trials.,-99,290,Wyoming,Locally funded,Limited Jurisdiction
