USStateCourtID,CourtID,USStateID,CourtName,CourtLevelID,CSPAggID,FundingID,AppealFromAdminAgency,Notes,Link,DisplayOrder,State,FundingDescription,CourtLevelDescription
55,142,11,Magistrate,LJ        ,LJ        ,L,No,No jury trials.,http://www.georgiamagistratecouncil.com/,55,Georgia,Locally funded,Limited Jurisdiction
56,143,11,Municipal,LJ        ,LJ        ,L,No,No jury trials.,http://municipal.georgiacourts.gov/,56,Georgia,Locally funded,Limited Jurisdiction
57,144,11,Probate,LJ        ,LJ        ,L,No,Jury trials only in counties with populations greater than 96,-99,57,Georgia,Locally funded,Limited Jurisdiction
58,145,11,State,LJ        ,LJ        ,L,No,Jury trials.,-99,58,Georgia,Locally funded,Limited Jurisdiction
59,146,11,Superior,GJ        ,GJ        ,M,Yes,Jury trials.,https://georgiasuperiorcourts.org/,59,Georgia,State and local funding,General Jurisdiction
60,23,12,Supreme Court,COLR      ,COLR      ,U,Yes,,-99,60,Guam,Funding source not provided,Court of Last Resort
61,147,12,Superior,GJ        ,GJ        ,U,Yes,,-99,61,Guam,Funding source not provided,General Jurisdiction
62,24,13,Supreme Court,COLR      ,COLR      ,S,No,,http://www.courts.state.hi.us/courts/supreme/hawaii_supreme_court,62,Hawai'i,State funded,Court of Last Resort
63,25,13,Intermediate Court of Appeals,IAC       ,IAC       ,S,Yes,,http://www.courts.state.hi.us/courts/appeals/intermediate_court_of_appeals,63,Hawai'i,State funded,Intermediate Appellate Court
64,148,13,Circuit,GJ        ,GJ        ,S,Yes,Jury trials. The Family Courts are a division of the Circuit Courts and have exclusive jurisdiction over domestic relations and juvenile cases.,-99,64,Hawai'i,State funded,General Jurisdiction
65,149,13,District,LJ        ,LJ        ,S,No,No jury trials.,http://www.courts.state.hi.us/wp-content/themes/hic_state_template_child-Judiciary/redirect_notice.php?redirect=http%3A%2F%2Fwww.courts.state.hi.us%2Fcourts%2Fdistrict%2Fdistrict_courts,65,Hawai'i,State funded,Limited Jurisdiction
66,26,14,Supreme Court,COLR      ,COLR      ,S,Yes,,https://www.isc.idaho.gov/problem-solving/burdick,66,Idaho,State funded,Court of Last Resort
67,27,14,Court of Appeals,IAC       ,IAC       ,S,No,,-99,67,Idaho,State funded,Intermediate Appellate Court
68,150,14,District,GJ        ,GJ        ,M,Yes,Jury trials.,https://www.isc.idaho.gov/district-courts,68,Idaho,State and local funding,General Jurisdiction
69,151,14,Magistrates Division,LJ        ,LJ        ,M,No,Jury trials. The Magistrates Division of the District Court functions as a limited jurisdiction court.,-99,69,Idaho,State and local funding,Limited Jurisdiction
70,28,15,Supreme Court,COLR      ,COLR      ,S,No,,http://www.illinoiscourts.gov/SupremeCourt/default.asp,70,Illinois,State funded,Court of Last Resort
71,29,15,Appellate Court,IAC       ,IAC       ,S,Yes,,http://www.illinoiscourts.gov/AppellateCourt/default.asp,71,Illinois,State funded,Intermediate Appellate Court
72,152,15,Circuit,GJ        ,GJ        ,M,Yes,Jury trials permissible in most cases.,http://www.illinoiscourts.gov/CircuitCourt/default.asp,72,Illinois,State and local funding,General Jurisdiction
73,30,16,Supreme Court,COLR      ,COLR      ,S,No,,https://www.in.gov/judiciary/supreme/,73,Indiana,State funded,Court of Last Resort
74,31,16,Court of Appeals,IAC       ,IAC       ,S,Yes,,https://www.in.gov/judiciary/appeals/,74,Indiana,State funded,Intermediate Appellate Court
75,32,16,Tax Court,IAC       ,IAC       ,S,Yes,,https://www.in.gov/judiciary/tax/,75,Indiana,State funded,Intermediate Appellate Court
76,153,16,Circuit,GJ        ,GJ        ,M,Yes,Jury trials except small claims.,https://www.in.gov/judiciary/2794.htm,76,Indiana,State and local funding,General Jurisdiction
77,154,16,City,LJ        ,LJ        ,L,No,Jury trials.,https://www.in.gov/judiciary/2794.htm,77,Indiana,Locally funded,Limited Jurisdiction
78,155,16,Probate,GJ        ,GJ        ,M,No,Jury trials.,https://www.in.gov/judiciary/iocs/2381.htm,78,Indiana,State and local funding,General Jurisdiction
79,156,16,Small Claims of Marion County,LJ        ,GJ        ,L,No,No jury trials.,-99,79,Indiana,Locally funded,Limited Jurisdiction
80,157,16,Superior,GJ        ,GJ        ,M,Yes,"Jury trials except small claims, probate/estate, mental health, domestic relations, and juvenile. Jurisdiction varies by county.",https://www.in.gov/judiciary/2794.htm,80,Indiana,State and local funding,General Jurisdiction
81,158,16,Town,LJ        ,LJ        ,L,No,Jury trials.,https://www.in.gov/judiciary/2794.htm,81,Indiana,Locally funded,Limited Jurisdiction
82,33,17,Supreme Court,COLR      ,COLR      ,S,No,,https://www.iowacourts.gov/iowa-courts/supreme-court/,82,Iowa,State funded,Court of Last Resort
83,34,17,Court of Appeals,IAC       ,IAC       ,S,No,,https://www.iowacourts.gov/iowa-courts/court-of-appeals/,83,Iowa,State funded,Intermediate Appellate Court
84,159,17,District,GJ        ,GJ        ,M,Yes,"Jury trials except in small claims, juvenile, city and county ordinance violations, and mental health.",https://www.iowacourts.gov/iowa-courts/district-court/,84,Iowa,State and local funding,General Jurisdiction
85,35,18,Supreme Court,COLR      ,COLR      ,S,No,May transfer cases to Court of Appeals.,http://www.kscourts.org/kansas-courts/supreme-court/default.asp,85,Kansas,State funded,Court of Last Resort
86,36,18,Court of Appeals,IAC       ,IAC       ,S,Yes,,http://www.kscourts.org/kansas-courts/court-of-appeals/default.asp,86,Kansas,State funded,Intermediate Appellate Court
87,160,18,District,GJ        ,GJ        ,M,Yes,Jury trials except in small claims.,http://www.kscourts.org/kansas-courts/district-courts/default.asp,87,Kansas,State and local funding,General Jurisdiction
88,161,18,Municipal,LJ        ,LJ        ,L,No,No jury trials.,-99,88,Kansas,Locally funded,Limited Jurisdiction
89,37,19,Supreme Court,COLR      ,COLR      ,S,No,,https://courts.ky.gov/courts/Supreme/Pages/supremecourt.aspx,89,Kentucky,State funded,Court of Last Resort
90,38,19,Court of Appeals,IAC       ,IAC       ,S,No,,https://courts.ky.gov/courts/coa/Pages/coa.aspx,90,Kentucky,State funded,Intermediate Appellate Court
