AppealProcessID,ChildCourtID,ParentCourtID,State,ChildCourtName,ParentCourtName
213,76,75,Oklahoma,Court of Civil Appeals,Supreme Court
214,240,75,Oklahoma,District,Supreme Court
215,240,74,Oklahoma,District,Court of Criminal Appeals
216,241,240,Oklahoma,Municipal Court Not of Record,District
217,242,74,Oklahoma,Municipal Criminal Court of Record,Court of Criminal Appeals
218,243,75,Oklahoma,Tax Review,Supreme Court
220,78,77,Oregon,Court of Appeals,Supreme Court
221,245,77,Oregon,Circuit,Supreme Court
222,245,78,Oregon,Circuit,Court of Appeals
223,246,245,Oregon,County,Circuit
224,247,245,Oregon,Justice,Circuit
225,248,245,Oregon,Municipal,Circuit
226,249,77,Oregon,Tax,Supreme Court
227,80,79,Pennsylvania,Commonwealth Court,Supreme Court
228,81,79,Pennsylvania,Superior Court,Supreme Court
229,250,79,Pennsylvania,Court of Common Pleas,Supreme Court
230,250,80,Pennsylvania,Court of Common Pleas,Commonwealth Court
231,250,81,Pennsylvania,Court of Common Pleas,Superior Court
232,251,250,Pennsylvania,Magisterial District Judge,Court of Common Pleas
233,252,250,Pennsylvania,Philadelphia Municipal,Court of Common Pleas
234,83,82,Puerto Rico,Court of Appeals,Supreme Court
235,253,83,Puerto Rico,Court of First Instance,Court of Appeals
236,254,258,Rhode Island,District,Superior
237,254,84,Rhode Island,District,Supreme Court
238,255,84,Rhode Island,Family,Supreme Court
239,256,259,Rhode Island,Municipal,Traffic Tribunal
240,256,254,Rhode Island,Municipal,District
241,256,258,Rhode Island,Municipal,Superior
242,257,258,Rhode Island,Probate,Superior
243,258,84,Rhode Island,Superior,Supreme Court
244,259,254,Rhode Island,Traffic Tribunal,District
245,260,84,Rhode Island,Worker's Compensation,Supreme Court
246,260,258,Rhode Island,Worker's Compensation,Superior
247,86,85,South Carolina,Court of Appeals,Supreme Court
248,261,86,South Carolina,Circuit,Court of Appeals
249,262,85,South Carolina,Family,Supreme Court
250,262,86,South Carolina,Family,Court of Appeals
251,263,261,South Carolina,Magistrate,Circuit
252,264,261,South Carolina,Municipal,Circuit
253,265,261,South Carolina,Probate,Circuit
254,266,87,South Dakota,Circuit,Supreme Court
255,267,266,South Dakota,Magistrate,Circuit
256,89,88,Tennessee,Court of Appeals,Supreme Court
257,90,88,Tennessee,Court of Criminal Appeals,Supreme Court
258,268,89,Tennessee,Chancery,Court of Appeals
259,269,89,Tennessee,Circuit,Court of Appeals
260,269,90,Tennessee,Circuit,Court of Criminal Appeals
261,270,90,Tennessee,Criminal,Court of Criminal Appeals
262,271,269,Tennessee,General Sessions,Circuit
263,271,270,Tennessee,General Sessions,Criminal
264,272,269,Tennessee,Juvenile,Circuit
265,273,270,Tennessee,Municipal,Criminal
266,274,89,Tennessee,Probate,Court of Appeals
267,93,91,Texas,Court of Appeals 1st District,Court of Criminal Appeals
268,93,92,Texas,Court of Appeals 1st District,Supreme Court
269,275,93,Texas,Constitutional County,Court of Appeals 1st District
270,276,93,Texas,County Court at Law,Court of Appeals 1st District
271,277,93,Texas,District,Court of Appeals 1st District
273,278,277,Texas,Justice,District
275,278,276,Texas,Justice,County Court at Law
276,278,275,Texas,Justice,Constitutional County
277,279,277,Texas,Municipal,District
278,280,93,Texas,Statutory Probate,Court of Appeals 1st District
279,279,276,Texas,Municipal,County Court at Law
280,279,275,Texas,Municipal,Constitutional County
281,280,93,Texas,Statutory Probate,Court of Appeals 1st District
282,95,94,Utah,Court of Appeals,Supreme Court
283,281,94,Utah,District,Supreme Court
284,281,95,Utah,District,Court of Appeals
285,282,281,Utah,Justice,District
286,283,95,Utah,Juvenile,Court of Appeals
287,284,96,Vermont,Superior,Supreme Court
288,97,-98,,,
289,285,-98,,,
290,99,98,Virginia,Court of Appeals,Supreme Court
291,286,98,Virginia,Circuit,Supreme Court
292,286,99,Virginia,Circuit,Court of Appeals
293,287,286,Virginia,District,Circuit
294,101,100,Washington,Courts of Appeals Division I,Supreme Court
295,288,290,Washington,District,Superior
296,289,290,Washington,Municipal,Superior
297,290,100,Washington,Superior,Supreme Court
298,290,101,Washington,Superior,Courts of Appeals Division I
299,291,102,West Virginia,Circuit,Supreme Court of Appeals
300,292,291,West Virginia,Family,Circuit
301,293,291,West Virginia,Magistrate,Circuit
302,293,292,West Virginia,Magistrate,Family
303,294,291,West Virginia,Municipal,Circuit
304,104,103,Wisconsin,Court of Appeals,Supreme Court
305,295,104,Wisconsin,Circuit,Court of Appeals
306,296,295,Wisconsin,Municipal,Circuit
307,297,298,Wyoming,Circuit,District
308,298,105,Wyoming,District,Supreme Court
309,299,298,Wyoming,Municipal,District
310,27,26,Idaho,Court of Appeals,Supreme Court
311,300,119,,,Circuit
