State,CourtName,CourtLevelDescription,FundingDescription,AppealFromAdminAgency,Notes,Link
Indiana,Superior,General Jurisdiction,State and local funding,Yes,"Jury trials except small claims, probate/estate, mental health, domestic relations, and juvenile. Jurisdiction varies by county.",https://www.in.gov/judiciary/2794.htm
Indiana,Town,Limited Jurisdiction,Locally funded,No,Jury trials.,https://www.in.gov/judiciary/2794.htm
Iowa,Supreme Court,Court of Last Resort,State funded,No,-99,https://www.iowacourts.gov/iowa-courts/supreme-court/
Iowa,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,https://www.iowacourts.gov/iowa-courts/court-of-appeals/
Iowa,District,General Jurisdiction,State and local funding,Yes,"Jury trials except in small claims, juvenile, city and county ordinance violations, and mental health.",https://www.iowacourts.gov/iowa-courts/district-court/
Kansas,Supreme Court,Court of Last Resort,State funded,No,May transfer cases to Court of Appeals.,http://www.kscourts.org/kansas-courts/supreme-court/default.asp
Kansas,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,http://www.kscourts.org/kansas-courts/court-of-appeals/default.asp
Kansas,District,General Jurisdiction,State and local funding,Yes,Jury trials except in small claims.,http://www.kscourts.org/kansas-courts/district-courts/default.asp
Kansas,Municipal,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
Kentucky,Supreme Court,Court of Last Resort,State funded,No,-99,https://courts.ky.gov/courts/Supreme/Pages/supremecourt.aspx
Kentucky,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,https://courts.ky.gov/courts/coa/Pages/coa.aspx
Kentucky,Circuit,General Jurisdiction,State funded,Yes,Jury trials except in appeals.,https://courts.ky.gov/courts/Pages/CircuitCourt.aspx
Kentucky,District,Limited Jurisdiction,State funded,No,Jury trials in most cases.,https://courts.ky.gov/courts/Pages/districtCourt.aspx
Kentucky,Family,General Jurisdiction,State funded,No,-99,https://courts.ky.gov/courts/familycourt/Pages/default.aspx
Louisiana,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.lasc.org/
Louisiana,Courts of Appel,Intermediate Appellate Court,State funded,Yes,-99,http://www.lasc.org/links.asp#CourtsofAppeal
Louisiana,City & Parish,Limited Jurisdiction,State and local funding,No,No jury trials.,http://www.lasc.org/links.asp#CityandParishCourts
Louisiana,District,General Jurisdiction,State and local funding,Yes,Jury trials in most cases.,http://www.lasc.org/links.asp#DistrictCourts
Louisiana,Family,General Jurisdiction,State and local funding,No,No jury trials.,http://www.lasc.org/court_managed_prog/children_families.asp
Louisiana,Justice of the Peace,Limited Jurisdiction,State and local funding,No,No jury trials.,-99
Louisiana,Juvenile,General Jurisdiction,State and local funding,No,No jury trials.,http://www.lasc.org/court_managed_prog/children_families.asp
Louisiana,Mayor's,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
Maine,Supreme Judicial Court,Court of Last Resort,State funded,Yes,-99,http://www.courts.maine.gov/maine_courts/supreme/index.shtml
Maine,District,General Jurisdiction,State funded,No,No jury trials.,http://www.courts.maine.gov/maine_courts/district/index.shtml
Maine,Probate,Limited Jurisdiction,Locally funded,No,No jury trials.,http://www.maineprobate.net/index.html
Maine,Superior,General Jurisdiction,State funded,Yes,Jury trials in some cases.,http://www.courts.maine.gov/maine_courts/superior/index.shtml
Maryland,Court of Appeals,Court of Last Resort,State funded,No,-99,-99
Maryland,Court of Special Appeals,Intermediate Appellate Court,State funded,No,-99,-99
Maryland,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials in most cases.,-99
Maryland,District,Limited Jurisdiction,State funded,No,No jury trials.,-99
