State,CourtName,CaseTypeDescription,AppealByRight,AppealByPermission,OriginalProceeding,InterlocutoryAppeal,Exclusive,Limited,MinValue,MaxValue,Notes
Arizona,Superior,Estate,False,False,False,False,True,False,-98,-98,
Arizona,Superior,Tax,False,False,False,False,False,False,-98,-98,
Arizona,Superior,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
Arizona,Superior,Administrative Agency Appeals,False,False,False,False,True,False,-98,-98,
Arizona,Tax,Tax,False,False,False,False,False,False,-98,-98,
Arizona,Tax,Administrative Agency Appeals,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Tort,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Contract,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Employment,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Real Property,False,False,False,False,False,False,100,NOMAX,
Arkansas,Circuit,Probate/Estate,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Guardianship,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Mental Health,False,False,False,False,True,False,-98,-98,
Arkansas,Circuit,Miscellaneous Civil,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Writ,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Civil Appeals from Limited Jurisdiction,False,False,False,False,True,False,-98,-98,
Arkansas,Circuit,Dissolution,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Paternity,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Custody,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Support,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Visitation,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Adoption,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Felony,False,False,False,False,True,False,-98,-98,
Arkansas,Circuit,Criminal Appeals,False,False,False,False,True,False,-98,-98,
Arkansas,Circuit,Status Offenses,False,False,False,False,True,False,-98,-98,
Arkansas,Circuit,Juvenile,False,False,False,False,True,False,-98,-98,
Arkansas,Circuit,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Probate/Wills/Interstate,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Civil Protections Orders,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Estate,False,False,False,False,False,False,-98,-98,
Arkansas,Circuit,Tax,False,False,False,False,False,False,-98,-98,
